days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
197.0,1.070e+02+-1.700e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Mooley
115.0,9.620e+01+-8.000e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
580.0,>18.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Makhatini
53.3,3.200e+01+-4.000e+00,6.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
150.0,9.000e+01+-3.000e+01,5.1,0,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Makhatini
24.3,>6600.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
72.2,5.800e+01+-5.000e+00,4.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
391.0,>13.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Troja
273.0,3.480e+01+-4.900e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
23.4,>4800.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
163.0,9.730e+01+-1.130e+01,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
39.2,2.280e+01+-2.600e+00,6.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
261.0,6.600e+01+-1.000e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
112.0,6.290e+01+-3.200e+00,6.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
