days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
24.2,2.560e+01+-2.900e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
217.0,2.470e+01+-3.100e+00,15.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
57.2,6.100e+01+-9.000e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
8.43,>150.0,338.0,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Kim
3.23,>90.0,338.0,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Kim
207.0,4.200e+01+-1.200e+01,5.0,0,gVLBA,0,0,0,09:48.1,-23:22:53.343,Ghirlanda
18.7,1.540e+01+-4.800e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
77.6,9.700e+01+-1.600e+01,1.4,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Remsi
21.4,1.360e+01+-2.900e+00,6.2,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
44.1,>93.0,338.0,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Kim
29.7,>246.0,0.68,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Mooley
19.4,1.900e+01+-6.000e+00,6.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
0.68,>150.0,10.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
13.4,>18.3,10.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
257.0,4.320e+01+-5.800e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
15.4,>13.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
115.0,5.120e+01+-3.400e+00,10.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
22.4,2.250e+01+-3.400e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
13.9,>600.0,0.4,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
218.0,6.470e+01+-2.700e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
167.0,5.790e+01+-6.900e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
93.2,2.600e+01+-4.400e+00,15.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
92.4,3.170e+01+-4.300e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
107.0,5.320e+01+-4.500e+00,1.3,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
216.0,3.630e+01+-3.600e+00,10.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
126.0,2.210e+02+-1.900e+01,0.67,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Remsi
163.0,4.740e+01+-3.600e+00,10.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
107.0,1.410e+02+-2.000e+01,1.3,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Remsi
3.34,>32.0,3.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
197.0,7.590e+01+-5.200e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Dobie
289.0,3.630e+01+-3.900e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
217.0,6.050e+01+-7.500e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
19.0,>140.0,0.7,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
19.4,>13.5,10.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.44,>28000.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
152.0,1.710e+02+-1.800e+01,1.3,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Remsi
10.6,>39.0,10.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
125.0,5.820e+01+-5.000e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
2.44,>17.1,10.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
210.0,>60.0,5.2,3,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Ghirlanda
97.1,1.990e+02+-1.600e+01,0.67,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Remsi
