[2025-07-07 23:16:25,028 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21613.txt====
[2025-07-07 23:16:25,029 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21614.txt====
[2025-07-07 23:16:30,766 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21614.txt====
[2025-07-07 23:16:30,767 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21628.txt====
[2025-07-07 23:16:33,621 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21628.txt====
[2025-07-07 23:16:33,621 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21636.txt====
[2025-07-07 23:16:38,262 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21636.txt====
[2025-07-07 23:16:38,263 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21645.txt====
[2025-07-07 23:16:40,835 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21645.txt====
[2025-07-07 23:16:40,836 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21650.txt====
[2025-07-07 23:16:45,437 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21650.txt====
[2025-07-07 23:16:45,437 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21664.txt====
[2025-07-07 23:16:49,250 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21664.txt====
[2025-07-07 23:16:49,250 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21670.txt====
[2025-07-07 23:17:00,630 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21670.txt====
[2025-07-07 23:17:00,631 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21671.txt====
[2025-07-07 23:17:03,296 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21671.txt====
[2025-07-07 23:17:03,297 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21708.txt====
[2025-07-07 23:17:07,778 INFO server]: Error generating response: 'ServerAgentFileLogger' object is not callable
[2025-07-07 23:17:07,778 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21740.txt====
[2025-07-07 23:17:14,153 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21740.txt====
[2025-07-07 23:17:14,154 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21750.txt====
[2025-07-07 23:17:17,784 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21750.txt====
[2025-07-07 23:17:17,784 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21760.txt====
[2025-07-07 23:17:21,160 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21760.txt====
[2025-07-07 23:17:21,160 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21763.txt====
[2025-07-07 23:17:23,554 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21763.txt====
[2025-07-07 23:17:23,554 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21768.txt====
[2025-07-07 23:17:27,295 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21768.txt====
[2025-07-07 23:17:27,295 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21803.txt====
[2025-07-07 23:17:31,285 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21803.txt====
[2025-07-07 23:17:31,286 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21804.txt====
[2025-07-07 23:17:40,650 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21804.txt====
[2025-07-07 23:17:40,650 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21848.txt====
[2025-07-07 23:17:42,718 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21848.txt====
[2025-07-07 23:17:42,718 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21850.txt====
[2025-07-07 23:17:47,125 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21850.txt====
[2025-07-07 23:17:47,127 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21882.txt====
[2025-07-07 23:17:50,983 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21882.txt====
[2025-07-07 23:17:50,984 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21891.txt====
[2025-07-07 23:17:54,191 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21891.txt====
[2025-07-07 23:17:54,191 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21900.txt====
[2025-07-07 23:17:57,260 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21900.txt====
[2025-07-07 23:17:57,261 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21914.txt====
[2025-07-07 23:18:01,159 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21914.txt====
[2025-07-07 23:18:01,160 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21920.txt====
[2025-07-07 23:18:22,117 INFO server]: Error generating response: 'ServerAgentFileLogger' object is not callable
