[2025-05-28 09:59:56,509 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=19
[2025-05-28 09:59:56,531 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=19
[2025-05-28 09:59:56,843 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=19)
[2025-05-28 09:59:56,843 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=20
[2025-05-28 09:59:56,863 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=20
[2025-05-28 09:59:56,964 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=20)
[2025-05-28 09:59:56,964 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=21
[2025-05-28 09:59:56,985 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=21
[2025-05-28 09:59:57,096 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=21)
[2025-05-28 09:59:57,096 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=22
[2025-05-28 09:59:57,117 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=22
[2025-05-28 09:59:57,218 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=22)
[2025-05-28 09:59:57,218 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=23
[2025-05-28 09:59:57,239 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=23
[2025-05-28 09:59:57,611 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=23)
[2025-05-28 09:59:57,611 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=24
[2025-05-28 09:59:57,632 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=24
[2025-05-28 09:59:57,743 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=24)
[2025-05-28 09:59:57,743 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=25
[2025-05-28 09:59:57,765 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=25
[2025-05-28 09:59:57,926 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=25)
[2025-05-28 09:59:57,926 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=26
[2025-05-28 09:59:57,947 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=26
[2025-05-28 09:59:58,299 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=26)
[2025-05-28 09:59:58,300 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=27
[2025-05-28 09:59:58,321 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=27
[2025-05-28 09:59:58,411 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=27)
[2025-05-28 09:59:58,412 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=28
[2025-05-28 09:59:58,432 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=28
