days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
320,2.310e+01+-4.000e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Troja
359,1.550e+01+-5.000e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Troja
391,>13.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Troja
461,>11.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Piro
515,>13.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Piro
580,>18.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Piro
760,>13.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Piro
