days	microJy	GHz	upperlimit	Instrument	time_flag	RA_Dec_flag	name_flag	RA	Dec	user
66.6	9.800e+01+-2.000e+01	1.3	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
77.6	9.700e+01+-1.600e+01	1.4	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
97.1	1.990e+02+-1.600e+01	0.67	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
107	1.410e+02+-2.000e+01	1.3	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
125	1.490e+02+-1.700e+01	1.3	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
126	2.210e+02+-1.900e+01	0.67	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
152	1.710e+02+-1.800e+01	1.3	0	uGMRT	0	0	0	09:48.1	-23:22:53.343	Remsi
